model,dataset,engine,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,energy_reduction_vs_no_cache_pct,idle_adjusted_energy_reduction_vs_no_cache_pct,hit_rate,reuse_successes,reused_prefix_tokens_total,wasted_compute_ratio
gpt2,daily_dialog,shadow_kv,1.0930990417438142,1.067747769934397,-0.5482449629158948,-1.2508515485374403,0.0,0,0,0.0
gpt2,daily_dialog,shadow_kv_plus,0.7578880356011544,0.8106784732988839,-6.827305063509113,0.9169301150759148,0.9921875,127,16256,0.0
gpt2,dolly,shadow_kv,1.0122908394647665,0.9800166474645902,-0.6056518014441112,-3.382180566401316,0.0,0,0,0.0
gpt2,dolly,shadow_kv_plus,0.7587099760009858,0.8166082717417805,-1.1610697951086777,3.84267633753144,0.9921875,127,16256,0.0
gpt2,oasst1,shadow_kv,0.8967758219443382,0.9179442634618168,-1.7439520702205265,11.108098964338335,0.0,0,0,0.0
gpt2,oasst1,shadow_kv_plus,0.7089240573084941,0.7844646609977737,0.420292887947744,-3.495439939320706,0.9921875,127,16256,0.0
gpt2,samsum,shadow_kv,0.9958641442716574,0.982418145609972,-0.808730134369352,0.6030623369408968,0.0,0,0,0.0
gpt2,samsum,shadow_kv_plus,0.7784312057444221,0.8289698545639967,1.4259843106646222,1.6748160724058694,0.9921875,127,16256,0.0
gpt2,ultrachat,shadow_kv,1.0095744611414494,0.939514909909192,-3.143486345735755,-4.602616512524992,0.0,0,0,0.0
gpt2,ultrachat,shadow_kv_plus,0.7658549612727783,0.7672050603047131,0.8852378892490573,21.933168425962304,0.9921875,127,16256,0.0
gpt2,xsum,shadow_kv,0.9307012796668516,0.9719088493084812,-2.824741812802556,-6.8988475569313765,0.0,0,0,0.0
gpt2,xsum,shadow_kv_plus,0.7883289666030164,0.8506145730877013,5.530670596742225,22.896394473496684,0.9921875,127,16256,0.0
microsoft/Phi-3-mini-4k-instruct,ag_news,shadow_kv,1.0010284233597708,0.9943092892826288,-0.5908281364863712,-1.5604457909183729,0.0,0,0,0.0
microsoft/Phi-3-mini-4k-instruct,ag_news,shadow_kv_plus,0.9214468807849152,0.9988604385701556,2.272144942231872,4.800136050590971,0.9921875,127,16256,0.0
microsoft/Phi-3-mini-4k-instruct,alpaca_eval,shadow_kv,1.0018892438317732,1.003212103333912,0.2094983586545868,-2.0246196225980597,0.0,0,0,0.0
microsoft/Phi-3-mini-4k-instruct,alpaca_eval,shadow_kv_plus,0.9356290687775046,0.9816562081181892,6.319350816609056,10.76172115147684,0.9921875,127,16256,0.0
