source,engine,workload,dataset,prompt_mode,n_requests,mean_latency_ms,speedup_vs_no_cache,cache_hit_rate,wasted_compute_ratio,reuse_density,reused_prefix_tokens_total,recompute_tokens_total,policy_net_utility_ms,semantic_partial_hits,layer_reuse_events
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/cnn_dailymail/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_cnn_dailymail_raw_cuda_0.json,no_cache,public_dataset,cnn_dailymail,raw,64,74.164841,1.000000,0.000000,0.000000,0.000000,0.0,23902.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/cnn_dailymail/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_cnn_dailymail_raw_cuda_0.json,reactive_prefix_cache,public_dataset,cnn_dailymail,raw,64,75.595717,0.981072,0.000000,0.000000,0.000000,0.0,23902.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/cnn_dailymail/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_cnn_dailymail_raw_cuda_0.json,greedy_prefix_cache,public_dataset,cnn_dailymail,raw,64,79.381305,0.934286,0.000000,0.000000,0.000000,0.0,23902.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/cnn_dailymail/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_cnn_dailymail_raw_cuda_0.json,strict_reactive_prefix_cache,public_dataset,cnn_dailymail,raw,64,78.291614,0.947290,0.000000,0.000000,0.000000,0.0,23902.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/cnn_dailymail/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_cnn_dailymail_raw_cuda_0.json,frequency_speculative,public_dataset,cnn_dailymail,raw,64,76.867902,0.964835,0.000000,1.000000,0.000000,0.0,23902.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/cnn_dailymail/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_cnn_dailymail_raw_cuda_0.json,shadow_kv,public_dataset,cnn_dailymail,raw,64,70.975810,1.044931,0.000000,1.000000,0.000000,0.0,23902.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/daily_dialog/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_raw_cuda_0.json,no_cache,public_dataset,daily_dialog,raw,64,38.871051,1.000000,0.000000,0.000000,0.000000,0.0,6137.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/daily_dialog/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_raw_cuda_0.json,reactive_prefix_cache,public_dataset,daily_dialog,raw,64,38.358060,1.013374,0.000000,0.000000,0.005214,32.0,6105.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/daily_dialog/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_raw_cuda_0.json,greedy_prefix_cache,public_dataset,daily_dialog,raw,64,39.047382,0.995484,0.000000,0.000000,0.000000,0.0,6137.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/daily_dialog/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_raw_cuda_0.json,strict_reactive_prefix_cache,public_dataset,daily_dialog,raw,64,40.808660,0.952520,0.000000,0.000000,0.005214,32.0,6105.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/daily_dialog/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_raw_cuda_0.json,frequency_speculative,public_dataset,daily_dialog,raw,64,50.702386,0.766651,0.000000,0.937710,0.336810,2067.0,4070.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/daily_dialog/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_raw_cuda_0.json,shadow_kv,public_dataset,daily_dialog,raw,64,41.153863,0.944530,0.000000,1.000000,0.291999,1792.0,4345.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/dolly/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_dolly_raw_cuda_0.json,no_cache,public_dataset,dolly,raw,64,41.859452,1.000000,0.000000,0.000000,0.000000,0.0,6188.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/dolly/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_dolly_raw_cuda_0.json,reactive_prefix_cache,public_dataset,dolly,raw,64,40.232821,1.040430,0.000000,0.000000,0.003878,24.0,6164.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/dolly/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_dolly_raw_cuda_0.json,greedy_prefix_cache,public_dataset,dolly,raw,64,44.565946,0.939270,0.000000,0.000000,0.000000,0.0,6188.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/dolly/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_dolly_raw_cuda_0.json,strict_reactive_prefix_cache,public_dataset,dolly,raw,64,44.675696,0.936963,0.000000,0.000000,0.003878,24.0,6164.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/dolly/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_dolly_raw_cuda_0.json,frequency_speculative,public_dataset,dolly,raw,64,50.662095,0.826248,0.000000,1.000000,0.093083,576.0,5612.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/dolly/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_dolly_raw_cuda_0.json,shadow_kv,public_dataset,dolly,raw,64,42.301048,0.989561,0.000000,1.000000,0.007757,48.0,6140.0,0.000000,0.0,0.0
